Cosa si intende per serie di Fourier?|La serie di Fourier è la scomposizione di un segnale in componenti sinusoidali che permette di analizzarlo più efficacemente, rappresentando i segnali mediante funzioni.
Qual è la formula generale di un segnale rappresentato dalla serie di Fourier?|g(t)=\frac{1}{2}c+\sum_{n=1}^\infty a_n sen(2\pi nft)+\sum_{n=1}^\infty b_n cos(2\pi nft)
Cosa rappresenta \(f\) nella formula della serie di Fourier?|\(f\) rappresenta la frequenza fondamentale e si calcola come \(f=1/T\), dove \(T\) è il periodo del segnale.
Cosa sono \(a_n\) e \(b_n\) nella serie di Fourier?|\(a_n\) e \(b_n\) sono rispettivamente le ampiezze delle componenti seno e coseno dell'n-esima armonica.
Qual è un pregio della serie di Fourier?|Un pregio è che scomporre un segnale in più componenti consente uno studio più preciso e dettagliato del segnale stesso.
Qual è un difetto della serie di Fourier?|Un difetto è che, nella pratica, i mezzi di trasmissione attenuano in modo non uniforme i componenti della serie di Fourier, causando distorsioni.
Qual è il significato di "Banda Passante"?|La Banda Passante è l'intervallo di frequenze trasmesse senza forte attenuazione, solitamente indicato tra 0 e la frequenza dove la potenza è attenuata del 50%.
In quali ambiti viene utilizzata la serie di Fourier?|La serie di Fourier è ampiamente utilizzata nelle comunicazioni e nella trasmissione dei dati, migliorando la comprensione delle onde attraverso la scomposizione del segnale.
Bitrate|Il bitrate è la quantità di informazioni digitali trasferite o registrate in un'unità di tempo, espressa in bit/s.  
Baudrate|Il baudrate rappresenta il numero di simboli trasmessi in un secondo e non va confuso con il bitrate.  
Qual è la differenza principale tra bitrate e baudrate?|La differenza principale è che il bitrate misura la quantità di bits trasmessi mentre il baudrate misura il numero di simboli trasmessi.  
Quali sono gli ambiti di utilizzo principali di bitrate e baudrate?|Queste metriche sono utilizzate nelle reti wireless e cablate.  
Quali sono i pregi del bitrate e baudrate?|Permettono di dare una rappresentazione quantitativa della velocità di trasmissione del mezzo.  
Ci sono difetti associati a bitrate e baudrate?|Non ci sono difetti specificati ma possono essere influenzati dalle condizioni fisiche del mezzo trasmissivo.
Quali sono i principali tipi di cavo utilizzati nelle telecomunicazioni?|I principali tipi di cavo sono: doppino, cavo coassiale e fibra ottica.  
Cos'è il doppino?|È un cavo composto da due conduttori di rame isolati, spessi circa 1mm e avvolti uno intorno all'altro in una forma elicoidale.  
Quali sono i principali vantaggi del doppino?|Costano poco e hanno una discreta velocità trasmissiva.  
Quali sono i principali svantaggi del doppino?|L'ampiezza di banda fornita non è tra le migliori e sono vulnerabili ai campi elettromagnetici.  
In quali ambiti viene utilizzato principalmente il doppino?|Viene utilizzato prevalentemente nel sistema telefonico.  
Cos'è il cavo coassiale?|È un cavo composto da un nucleo conduttore coperto da un rivestimento isolante, a sua volta circondato da un conduttore cilindrico e avvolto da una guaina protettiva di plastica.  
Quali sono i vantaggi del cavo coassiale?|Hanno un isolamento quasi totale dai campi elettromagnetici grazie ai vari rivestimenti isolanti.  
Quali sono i difetti del cavo coassiale?|Su grandi tratti non sono molto efficienti in termini di banda, vengono sostituiti dalla fibra ottica.  
In quali ambiti viene utilizzato il cavo coassiale?|Il cavo coassiale è molto utilizzato per le reti metropolitane e le televisioni via cavo.  
Cos'è la fibra ottica?|È un sistema di trasmissione ottico che utilizza segnali luminosi, composto da un nucleo di vetro, un rivestimento di vetro e una guaina protettiva di plastica.  
Quali sono i principali vantaggi della fibra ottica?|Maggiore ampiezza di banda, minore perdita di segnale e maggiore sicurezza dei dati rispetto ai cavi in rame.  
Quali sono i difetti della fibra ottica?|Richiede conoscenze specializzate, può danneggiarsi se piegata troppo e le interfacce costano di più.  
In quali ambiti viene utilizzata principalmente la fibra ottica?|È molto utilizzata nelle MAN e nei sistemi di trasmissioni a lunga distanza.  
Quali sono i tipi di fibra ottica esistenti?|Esistono due tipi: fibra monomodale e fibra multimodale.  
Cosa distingue la fibra monomodale dalla multimodale?|La monomodale si usa per lunghe distanze con luce che si propaga in linea retta, la multimodale può contenere più raggi che rimbalzano a angoli diversi.  
Come si possono collegare le fibre ottiche?|Tramite connettori, attaccate meccanicamente o per fusione delle due parti.
Che cosa sono i satelliti GEO? | I satelliti GEO (Geostationary Earth Orbit) sono collocati in orbita alta, con un periodo orbitale che corrisponde a quello della rotazione terrestre, permettendo loro di rimanere fissi su un punto specifico della Terra.
Quali sono i principali vantaggi dei satelliti GEO? | I satelliti GEO offrono copertura costante su vaste aree, consentendo comunicazioni stabili e ampie connessioni per servizi televisivi, telecomunicazioni e trasmissioni radio.
Quali sono i principali svantaggi dei satelliti GEO? | Un limite significativo dei satelliti GEO è il ritardo nella comunicazione, causato dalla lunga distanza dalla superficie terrestre, e la loro elevata suscettibilità a condizioni meteorologiche avverse.
Cosa caratterizza i satelliti MEO? | I satelliti MEO (Medium Earth Orbit) orbitano a un'altitudine intermedia, impiegando circa 6 ore per un'orbita attorno alla Terra e sono principalmente utilizzati per applicazioni di navigazione come il GPS.
Qual è il vantaggio principale dei satelliti MEO rispetto ai satelliti GEO? | I satelliti MEO hanno un ritardo di propagazione inferiore rispetto ai GEO, il che li rende più adatti per applicazioni in tempo reale, sebbene non offrano una posizione fissa.
Quali applicazioni utilizzano i satelliti MEO? | I satelliti MEO sono predominanti nei servizi di navigazione e geolocalizzazione, come i sistemi GPS, che richiedono una copertura continua e precisa.
Quali sono le caratteristiche distintive dei satelliti LEO? | I satelliti LEO (Low Earth Orbit) orbitano vicino alla superficie terrestre e si muovono rapidamente, richiedendo una rete di satelliti per garantire copertura continua.
Quali sono i principali vantaggi del sistema satellitare LEO? | I satelliti LEO offrono velocità di trasmissione elevate e minori ritardi, poiché orbitano a un'altitudine più bassa.
Quali sono i principali svantaggi dei satelliti LEO? | L'uso di satelliti LEO richiede un gran numero di dispositivi per garantire la copertura totale, aumentando la complessità e i costi operativi.
In quali contesti vengono utilizzati i satelliti LEO? | I satelliti LEO sono utilizzati per comunicazioni in tempo reale, servizi di voce e dati, e in applicazioni dove la copertura globale è necessaria, come nei servizi di emergenza.
Qual è un esempio significativo di rete di satelliti LEO? | Iridium è un esempio di una rete di satelliti LEO con 66 satelliti che forniscono servizi di telecomunicazione a livello globale, inclusi voce e dati.
Come si confrontano i satelliti e la fibra ottica in termini di prestazioni? | La fibra ottica offre una maggiore velocità di trasmissione dati rispetto ai satelliti, ma i satelliti forniscono una copertura uniforme in tutto il mondo, mentre la fibra è limitata dalla disponibilità di infrastrutture.
Qual è uno dei principali vantaggi delle comunicazioni satellitari? | Le comunicazioni satellitari possono raggiungere aree remote e inospitali dove le infrastrutture di rete terrestre non sono disponibili o sono limitate.
Qual è uno dei principali svantaggi delle comunicazioni satellitari? | I sistemi satellitari tendono ad essere più costosi e meno versatili rispetto alla fibra ottica, con maggiore suscettibilità a interferenze e condizioni atmosferiche.
Cos'è la modulazione di frequenza?|La modulazione in frequenza è una tecnica di trasmissione utilizzata per trasmettere informazioni variando la frequenza dell'onda portante, ed è meno sensibile ai disturbi rispetto alla modulazione in ampiezza.  
Quali sono i vantaggi della modulazione di frequenza?|I vantaggi includono una riduzione dei problemi di attenuazione e distorsione, una maggiore efficienza energetica e una trasmissione di miglior qualità rispetto alla modulazione in ampiezza.  
Quali sono i difetti della modulazione di frequenza?|I difetti includono la necessità di circuiti complessi per la generazione e la ricezione del segnale, anche se molte di queste problematiche sono state superate dalle tecnologie moderne.  
In quali ambiti viene utilizzata principalmente la modulazione di frequenza?|La modulazione di frequenza è utilizzata principalmente nel broadcasting commerciale, ed è più comune della modulazione in ampiezza.
Cos'è la modulazione delta?|La modulazione delta è un metodo di digitalizzazione e compressione di un segnale analogico utilizzato nel campo della telefonia, basato sulla variazione del segnale tramite un'unità di tempo e rappresentato in 1 bit.  
Qual è il principio di base della modulazione delta?|La modulazione delta si basa sulla differenza di valore tra il valore precedente e quello successivo, rappresentando un cambiamento positivo come 1 e uno negativo come 0.  
Quali sono i pregi della modulazione delta?|I pregi della modulazione delta includono la capacità di comprimere e digitalizzare il segnale analogico, riducendo il carico sulle linee e consentendo comunicazioni più veloci.  
Quali sono i difetti della modulazione delta?|I difetti della modulazione delta includono la perdita di dati quando il segnale cambia troppo rapidamente, il che può creare problemi di qualità.  
In quali ambiti viene utilizzata la modulazione delta?|La modulazione delta è utilizzata principalmente nelle comunicazioni satellitari e nelle comunicazioni voce.  
Cos'è il GSM?|Il GSM (Global System for Mobile Communications) è un sistema di telefonia mobile di seconda generazione che utilizza la voce digitale.  
Quali sono i tipi di celle utilizzate nel GSM?|Il GSM utilizza quattro tipi di celle: macro, micro, pico e umbrella.  
Qual è il raggio massimo delle celle macro nel GSM?|Le celle macro hanno un raggio massimo di 35 km.  
A cosa serve il multiplexing a divisione di frequenza nel GSM?|Il multiplexing a divisione di frequenza permette a ogni apparecchio di trasmettere su una frequenza e ricevere su una frequenza più alta, migliorando l'efficienza della rete.  
Qual è la differenza principale tra GSM e D-AMPS?|Il GSM supporta un numero maggiore di utenti e ha una velocità dati per utente superiore rispetto al D-AMPS.  
Quante coppie di canali simplex ha un sistema GSM?|Un sistema GSM ha 124 coppie di canali simplex.  
Quante connessioni separate può supportare il GSM?|Il GSM può supportare fino a otto connessioni separate mediante multiplexing a divisione di tempo.  
Cosa sono le SIM card nel contesto del GSM?|Le SIM card memorizzano i dati descrittivi dell'abbonato e forniscono autenticazione ed autorizzazione per utilizzare la rete GSM.  
Quali sono i principali pregi del GSM?|Interoperabilità tra reti diverse e introduzione della comunicazione di tipo digitale.  
Qual è uno dei difetti del GSM?|Uno dei difetti del GSM è che non può trasmettere e ricevere contemporaneamente.  
In quali ambiti viene utilizzato il GSM?|Il GSM è utilizzato nella seconda generazione di telefoni cellulari ed è il sistema più diffuso al mondo.
